accord,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
Gmin,0.028610775,0.054409184,0.017851498,0.38529444,0.6719366,0.0100303795,0.15194659,0.009223357,0.9120177,0.021796979,0.011005644,0.89602154
F#maj,0.020475833,0.7883609,0.025632538,0.23912351,0.080735646,0.051124796,0.84715825,0.026453812,0.0714087,0.038940284,0.78585714,0.048215155
Fmaj,0.020475833,0.7883609,0.025632538,0.23912351,0.080735646,0.051124796,0.84715825,0.026453812,0.0714087,0.038940284,0.78585714,0.048215155
Emaj,0.015333686,0.57513636,0.04015339,0.03985955,0.82102734,0.019720433,0.09731617,0.035871383,0.68618256,0.109743625,0.027754186,0.502184
G#min,0.18937083,0.33895248,0.027937038,0.46673432,0.31438318,0.05770214,0.2862022,0.058988556,0.6164946,0.06982569,0.24764442,0.25664133
Gmin,0.18937083,0.33895248,0.027937038,0.46673432,0.31438318,0.05770214,0.2862022,0.058988556,0.6164946,0.06982569,0.24764442,0.25664133
C#min,0.03525547,0.8387957,0.017054139,0.052868273,0.33614632,0.4201859,0.054846752,0.011948007,0.89151967,0.029218627,0.0314427,0.35660642
Cmin,0.03525547,0.8387957,0.017054139,0.052868273,0.33614632,0.4201859,0.054846752,0.011948007,0.89151967,0.029218627,0.0314427,0.35660642
F#maj,0.014046867,0.5632296,0.06974553,0.131737,0.27186936,0.0177337,0.7576151,0.046627387,0.08655024,0.18945986,0.183467,0.4365819
Fmaj,0.014046867,0.5632296,0.06974553,0.131737,0.27186936,0.0177337,0.7576151,0.046627387,0.08655024,0.18945986,0.183467,0.4365819
C#min,0.0032181528,0.94944286,0.0037733007,0.007902925,0.9234445,0.027145576,0.028081188,0.0034589146,0.93555397,0.040095545,0.005404808,0.43895903
Cmin,0.0032181528,0.94944286,0.0037733007,0.007902925,0.9234445,0.027145576,0.028081188,0.0034589146,0.93555397,0.040095545,0.005404808,0.43895903
Bmaj,0.026022322,0.06527778,0.10236132,0.12076744,0.6998999,0.011782851,0.15733005,0.08832416,0.42596424,0.06480061,0.018353336,0.7893128
F#maj,0.017320277,0.4975137,0.05180291,0.2939234,0.14633103,0.025959631,0.7909427,0.04957288,0.07392754,0.07784581,0.42059052,0.39750266
Fmaj,0.017320277,0.4975137,0.05180291,0.2939234,0.14633103,0.025959631,0.7909427,0.04957288,0.07392754,0.07784581,0.42059052,0.39750266
G#min,0.2639853,0.18489243,0.021188796,0.666159,0.08472489,0.05923731,0.26645532,0.03069471,0.80814517,0.032099623,0.042375997,0.3031243
Gmin,0.2639853,0.18489243,0.021188796,0.666159,0.08472489,0.05923731,0.26645532,0.03069471,0.80814517,0.032099623,0.042375997,0.3031243
Bmaj,0.030138386,0.124436274,0.06499437,0.67408854,0.101208515,0.035286803,0.67030025,0.07797989,0.16456226,0.039661814,0.46033865,0.652053
C#min,0.019576946,0.88600105,0.016346252,0.030422436,0.35288224,0.28537825,0.08901449,0.015826833,0.7763294,0.08586274,0.030250328,0.2277889
Cmin,0.019576946,0.88600105,0.016346252,0.030422436,0.35288224,0.28537825,0.08901449,0.015826833,0.7763294,0.08586274,0.030250328,0.2277889
Bmaj,0.012627566,0.02222255,0.31422833,0.2723706,0.15562207,0.008517488,0.6184164,0.26775408,0.04131697,0.06695261,0.014987622,0.89927006
F#maj,0.020688096,0.79272324,0.027253604,0.20875855,0.08389708,0.05417472,0.83645904,0.02586254,0.072149046,0.044965334,0.76431024,0.047495525
